user_id,created_at,text,is_quote,is_retweet,retweet_text,retweet_created_at,lang
1528729857311625216,2022-07-04T17:26:40Z,we're going to miss this so much when it's all over.. stranger things is a part of us now.. #StrangerThings https://t.co/FKSQMAuPn2,False,True,we're going to miss this so much when it's all over.. stranger things is a part of us now.. #StrangerThings https://t.co/FKSQMAuPn2,2022-06-26T02:58:16Z,en
1528729857311625216,2022-07-04T17:12:43Z,this ending left me literally speechless #StrangerThings https://t.co/0xp8BHF0HX,False,False,,,en
1186556971,2022-07-04T18:03:33Z,"i cannot do this rn
#StrangerThings https://t.co/6OrhHaeh9Q",False,True,"i cannot do this rn
#StrangerThings https://t.co/6OrhHaeh9Q",2022-07-02T23:31:03Z,en
3267571370,2022-07-04T18:03:32Z,"argyle best character ever (REAL)
#StrangerThings #StrangerThings4 #jargyle https://t.co/tfKOFv0zqj",False,True,"argyle best character ever (REAL)
#StrangerThings #StrangerThings4 #jargyle https://t.co/tfKOFv0zqj",2022-07-04T16:19:56Z,en
993519064097026048,2022-07-04T18:03:32Z,will byers boys robin buckley stranger things strangerthings byler mike wheeler joyce jonathan sadie maya hawke season 4 gay fancam edit lucas dustin max mayfield steve eddie nancy harrington eleven el finn wolfhard pride lesbian noah schnapp #strangerthings    #STRANGERTHINGS4 https://t.co/Va5lna7bz9,False,True,will byers boys robin buckley stranger things strangerthings byler mike wheeler joyce jonathan sadie maya hawke season 4 gay fancam edit lucas dustin max mayfield steve eddie nancy harrington eleven el finn wolfhard pride lesbian noah schnapp #strangerthings    #STRANGERTHINGS4 https://t.co/Va5lna7bz9,2022-06-27T13:00:31Z,en
915631946306347009,2022-07-04T18:03:32Z,speedpainting to 80s music #StrangerThings https://t.co/5OA5V6kdFU,False,True,speedpainting to 80s music #StrangerThings https://t.co/5OA5V6kdFU,2022-07-04T17:46:10Z,en
1365017660,2022-07-04T18:03:31Z,"The Duffer Brothers say they will start writing the final season of #StrangerThings next month 

(via @Collider) https://t.co/tOUt1ZjljZ",False,True,"The Duffer Brothers say they will start writing the final season of #StrangerThings next month 

(via @Collider) https://t.co/tOUt1ZjljZ",2022-07-04T17:41:50Z,en
3070661737,2022-07-04T18:03:30Z,"The Duffer Brothers will begin writing #StrangerThings Season 5 in August.

The final season is expected to premiere in 2024.

(Source: https://t.co/Ut5lkMiXRC) https://t.co/iEN8kNFYZT",False,True,"The Duffer Brothers will begin writing #StrangerThings Season 5 in August.

The final season is expected to premiere in 2024.

(Source: https://t.co/Ut5lkMiXRC) https://t.co/iEN8kNFYZT",2022-07-04T16:58:03Z,en
1411817993256976384,2022-07-04T17:44:19Z,The trick is to have fun making it. (No memory of where the bloody fingerprints came from)🩸🙃 #strangerthings @Stranger_Things https://t.co/1leB26KJiM,False,True,The trick is to have fun making it. (No memory of where the bloody fingerprints came from)🩸🙃 #strangerthings @Stranger_Things https://t.co/1leB26KJiM,2022-07-04T16:06:43Z,en
1411817993256976384,2022-07-04T17:36:36Z,my boy GRADUATED #eddiemunson #strangerthings https://t.co/OMtPnR5VsM,False,True,my boy GRADUATED #eddiemunson #strangerthings https://t.co/OMtPnR5VsM,2022-07-03T18:03:53Z,en
1411817993256976384,2022-07-04T17:59:47Z,"many thoughts head full 
#steddie #StrangerThings https://t.co/swmcOc2rVz",False,True,"many thoughts head full 
#steddie #StrangerThings https://t.co/swmcOc2rVz",2022-07-03T18:20:16Z,en
1411817993256976384,2022-07-04T17:53:34Z,they will never have to go through shit alone again. from now on they’ll always have each other. i will cry. #StrangerThings https://t.co/We74Wt1WaJ,False,True,they will never have to go through shit alone again. from now on they’ll always have each other. i will cry. #StrangerThings https://t.co/We74Wt1WaJ,2022-07-04T15:39:08Z,en
